"","plot","troph","sum"
"1",100E,na,2666
"2",100E,Pathotroph,233
"3",100E,Saprotroph,1661
"4",100E,Symbiotroph,721
"5",101E,na,4242
"6",101E,Pathotroph,89
"7",101E,Saprotroph,2514
"8",101E,Symbiotroph,319
"9",102E,na,3610
"10",102E,Pathotroph,274
"11",102E,Saprotroph,1776
"12",102E,Symbiotroph,879
"13",103E,na,5747
"14",103E,Pathotroph,179
"15",103E,Saprotroph,2852
"16",103E,Symbiotroph,523
"17",104E,na,3910
"18",104E,Pathotroph,120
"19",104E,Saprotroph,3634
"20",104E,Symbiotroph,427
"21",105E,na,4724
"22",105E,Pathotroph,238
"23",105E,Saprotroph,3156
"24",105E,Symbiotroph,530
"25",106E,na,3898
"26",106E,Pathotroph,521
"27",106E,Saprotroph,3613
"28",106E,Symbiotroph,1220
"29",107E,na,5115
"30",107E,Pathotroph,322
"31",107E,Saprotroph,3679
"32",107E,Symbiotroph,1265
"33",108E,na,5291
"34",108E,Pathotroph,461
"35",108E,Saprotroph,3609
"36",108E,Symbiotroph,949
"37",109E,na,4738
"38",109E,Pathotroph,36
"39",109E,Saprotroph,3235
"40",109E,Symbiotroph,58
"41",110E,na,2804
"42",110E,Pathotroph,97
"43",110E,Saprotroph,2224
"44",110E,Symbiotroph,68
"45",111E,na,9382
"46",111E,Pathotroph,117
"47",111E,Saprotroph,4878
"48",111E,Symbiotroph,148
"49",112E,na,2659
"50",112E,Pathotroph,75
"51",112E,Saprotroph,1643
"52",112E,Symbiotroph,68
"53",113E,na,3155
"54",113E,Pathotroph,104
"55",113E,Saprotroph,1592
"56",113E,Symbiotroph,76
"57",114E,na,1204
"58",114E,Pathotroph,123
"59",114E,Saprotroph,1219
"60",114E,Symbiotroph,41
"61",115E,na,5241
"62",115E,Pathotroph,214
"63",115E,Saprotroph,3070
"64",115E,Symbiotroph,150
"65",116E,na,3287
"66",116E,Pathotroph,68
"67",116E,Saprotroph,2662
"68",116E,Symbiotroph,125
"69",117E,na,2925
"70",117E,Pathotroph,33
"71",117E,Saprotroph,1642
"72",117E,Symbiotroph,74
"73",118E,na,3783
"74",118E,Pathotroph,100
"75",118E,Saprotroph,2749
"76",118E,Symbiotroph,140
"77",119E,na,2937
"78",119E,Pathotroph,28
"79",119E,Saprotroph,2053
"80",119E,Symbiotroph,52
"81",120E,na,4327
"82",120E,Pathotroph,170
"83",120E,Saprotroph,3674
"84",120E,Symbiotroph,68
"85",121,na,577
"86",121,Pathotroph,114
"87",121,Saprotroph,236
"88",121,Symbiotroph,4
"89",122,na,210
"90",122,Pathotroph,59
"91",122,Saprotroph,75
"92",122,Symbiotroph,4
"93",123,na,214
"94",123,Pathotroph,38
