,unique,Perc_crop_1km,Perc_veg_1km,Perc_nonveg_1km,Perc_ocean_1km
1,13,57.2927,39.2293,3.3923,0.085714474
2,14,65.643,31.2268,3.2764,-0.146239759
3,15,65.701,31.2268,3.2764,-0.204228317
4,16,65.4111,31.4878,3.0444,0.056720195
5,17,66.078,30.589,3.2474,0.085714474
6,18,66.02,30.6759,3.2764,0.027725916
7,19,65.817,31.1109,3.1894,-0.11724548
8,20,66.107,30.6759,3.2474,-0.030262643
9,21,66.107,30.56,3.2184,0.114708753
10,22,65.991,30.9369,3.2184,-0.146239759
11,23,66.078,30.8209,3.1894,-0.088251201
12,24,66.6289,30.0381,3.2474,0.085714474
13,25,98.2906,0.3769,1.1598,0.172697311
14,26,98.3196,0.3769,1.1598,0.143703032
15,27,98.3776,0.3769,1.1598,0.085714474
16,28,97.3048,1.4497,1.2468,-0.001268364
17,29,97.1888,1.7397,1.2757,-0.204228317
18,30,97.1598,1.7107,1.2757,-0.146239759
19,31,96.6669,1.9136,1.2757,0.143703032
20,32,96.7249,1.8846,1.2757,0.114708753
21,33,96.6379,2.1456,1.2757,-0.059256922
22,34,95.3622,3.3053,1.3917,-0.059256922
23,35,95.3042,3.3343,1.3917,-0.030262643
24,36,95.1592,3.5953,1.4207,-0.175234038
25,37,44.0133,52.1897,3.6823,0.114708753
26,38,44.0133,52.2187,3.7113,0.056720195
27,39,44.0423,52.4217,3.7113,-0.175234038
28,40,44.5932,51.7258,3.5953,0.085714474
29,41,44.6802,51.4359,3.5953,0.288674427
30,42,44.9701,51.3779,3.6243,0.027725915
31,43,45.0861,51.2619,3.6243,0.027725915
32,44,45.376,51.2329,3.5953,-0.204228317
33,45,45.376,51.2039,3.5953,-0.175234038
34,46,45.492,50.856,3.5953,0.056720195
35,47,45.666,50.9429,3.5663,-0.175234038
36,48,46.1299,50.1311,3.5953,0.143703032
37,49,61.7578,32.0967,6.2628,-0.11724548
38,50,61.6128,32.1257,6.3208,-0.059256922
39,51,61.6998,32.1836,6.3208,-0.204228317
40,52,61.2939,32.3286,6.2628,0.114708753
41,53,61.2359,32.3286,6.2338,0.20169159
42,54,61.3809,32.4156,6.2338,-0.030262643
43,55,61.2939,32.5316,6.2338,-0.059256922
44,56,60.975,32.6766,6.2048,0.143703032
45,57,61.0909,32.8215,6.1758,-0.088251201
46,58,61.033,32.7345,6.1468,0.085714474
47,59,60.743,32.9955,6.0888,0.172697311
48,60,60.569,33.2274,6.0888,0.114708753
49,61E,74.4573,21.5717,3.8272,0.143703032
50,62E,74.8342,21.3398,3.8272,-0.001268364
51,63E,74.8052,21.3108,3.8562,0.027725915
52,64E,74.7183,21.2238,3.8562,0.20169159
53,65E,75.1532,21.1658,3.8562,-0.175234038
54,66E,75.0952,20.8759,3.8852,0.143703032
55,67E,75.2981,20.7889,3.9432,-0.030262643
56,68E,75.4431,20.6729,3.9722,-0.088251201
57,69E,75.3271,20.5859,3.9432,0.143703032
58,70E,75.7041,20.5569,4.0302,-0.291211154
59,71E,75.6171,20.354,4.0592,-0.030262643
60,72E,75.3271,20.383,4.1172,0.172697311
61,85E,50.595,44.3902,4.958,0.056720195
62,86E,50.2181,44.9701,4.842,-0.030262643
63,88E,50.1311,45.3471,4.7261,-0.204228317
64,89E,49.9861,45.55,4.6391,-0.175234038
65,90E,49.9861,45.55,4.6391,-0.175234038
66,91E,48.7684,46.5068,4.5811,0.143703032
67,92E,49.0293,46.5068,4.5811,-0.11724548
68,93E,49.0003,46.5648,4.5521,-0.11724548
69,94E,48.4494,46.8258,4.5811,0.143703032
70,95E,47.9275,47.4926,4.5811,-0.001268364
71,96E,47.8696,47.3187,4.5811,0.230685869
72,97E,48.6524,48.0725,3.3633,-0.088251201
73,98E,48.7104,47.9565,3.3343,-0.001268364
74,99E,48.6234,48.1305,3.3633,-0.11724548
75,100E,48.9423,47.9565,3.3343,-0.233222596
76,101E,48.5944,47.9855,3.3343,0.085714474
77,102E,48.6814,47.9275,3.3343,0.056720195
78,103E,49.2613,47.7246,3.3053,-0.291211154
79,104E,49.1743,47.7246,3.3053,-0.204228317
80,105E,48.8264,47.8985,3.3053,-0.030262643
81,106E,48.8554,47.8985,3.3053,-0.059256922
82,107E,48.7394,47.9565,3.2764,0.027725915
83,108E,49.1453,47.6956,3.2764,-0.11724548
84,109E,33.9813,41.9837,24.1232,-0.088251201
