,asv,direction,domain,conf.d,phylum,conf.p,class,conf.c,order,conf.o,family,conf.f,genus,conf.g,species,conf.s,num
ASV3,ASV3,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Capnodiales,100,Davidiellaceae,100,Davidiella,100,Davidiella_tassiana|SH196750.06FU,100,3
ASV6,ASV6,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Capnodiales,100,Mycosphaerellaceae,100,Dissoconium,99,Dissoconium_sp_GS_2011|SH197940.06FU,99,6
ASV7,ASV7,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Pleosporales,100,Incertae_sedis_13,100,Phoma,100,Phoma_brasiliensis|SH202145.06FU,100,7
ASV8,ASV8,+,Fungi,100,Ascomycota,99,Dothideomycetes,99,Pleosporales,99,Pleosporaceae,99,Alternaria,99,Alternaria_eichhorniae|SH224789.06FU,99,8
ASV12,ASV12,+,Fungi,100,Basidiomycota,100,Microbotryomycetes,100,Sporidiobolales,100,Incertae_sedis_25,100,Sporobolomyces,100,Sporobolomyces_ruberrimus|SH196707.06FU,100,12
ASV13,ASV13,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Capnodiales,100,Mycosphaerellaceae,100,Sphaerulina,72,Sphaerulina_pseudovirgaureae|SH212655.06FU,72,13
ASV14,ASV14,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Pleosporales,100,,63,,63,,63,14
ASV15,ASV15,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Capnodiales,100,Mycosphaerellaceae,100,Uwebraunia,100,Uwebraunia_musae|SH197937.06FU,100,15
ASV16,ASV16,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Capnodiales,100,Mycosphaerellaceae,100,Uwebraunia,100,Uwebraunia_musae|SH197937.06FU,100,16
ASV17,ASV17,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Capnodiales,100,Davidiellaceae,100,Davidiella,100,Davidiella_tassiana|SH196750.06FU,100,17
ASV19,ASV19,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Pleosporales,100,Phaeosphaeriaceae,100,Eudarluca,100,Eudarluca_caricis|SH225744.06FU,100,19
ASV20,ASV20,+,Fungi,100,,66,,65,,65,,51,,51,,33,20
ASV21,ASV21,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Pleosporales,100,Incertae_sedis_13,97,,56,,44,21
ASV22,ASV22,+,Fungi,100,Basidiomycota,100,Microbotryomycetes,100,Sporidiobolales,100,Incertae_sedis_25,100,Sporobolomyces,100,Sporobolomyces_ruberrimus|SH196707.06FU,100,22
ASV24,ASV24,+,Fungi,100,Ascomycota,100,Ascomycota_unidentified,96,Ascomycota_unidentified_1,96,Ascomycota_unidentified_1,96,Ascomycota_unidentified_1_1,96,,62,24
ASV25,ASV25,+,Fungi,100,Basidiomycota,100,Tremellomycetes,100,Cystofilobasidiales,100,Cystofilobasidiaceae,100,Udeniomyces,100,Udeniomyces_megalosporus|SH207895.06FU,100,25
ASV26,ASV26,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Pleosporales,100,Pleosporales_unidentified,100,Pleosporales_unidentified_1,100,Pleosporales_sp|SH206981.06FU,100,26
ASV27,ASV27,+,Fungi,100,Basidiomycota,100,Microbotryomycetes,100,Sporidiobolales,100,Incertae_sedis_25,99,Sporobolomyces,99,Sporobolomyces_ruberrimus|SH196707.06FU,99,27
ASV28,ASV28,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Capnodiales,100,Schizothyriaceae,100,Schizothyriaceae_unidentified,97,Schizothyriaceae_sp|SH232271.06FU,97,28
ASV29,ASV29,+,Fungi,100,Basidiomycota,100,Tremellomycetes,100,Tremellales,100,Incertae_sedis_12,100,Bulleromyces,100,Bulleromyces_albus|SH234350.06FU,100,29
ASV30,ASV30,+,Fungi,100,Ascomycota,100,Dothideomycetes,96,Pleosporales,96,Phaeosphaeriaceae,96,Phaeosphaeriaceae_unidentified,94,Phaeosphaeriaceae_sp|SH196608.06FU,94,30
ASV31,ASV31,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Capnodiales,100,Mycosphaerellaceae,100,Uwebraunia,100,Uwebraunia_musae|SH197937.06FU,100,31
ASV32,ASV32,+,Fungi,100,Ascomycota,72,,11,,7,,6,,6,,4,32
ASV33,ASV33,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Pleosporales,100,Pleosporales_unidentified,100,Pleosporales_unidentified_1,100,Pleosporales_sp|SH206981.06FU,100,33
ASV34,ASV34,+,Fungi,100,Basidiomycota,100,Exobasidiomycetes,100,Exobasidiomycetes_unidentified,100,Exobasidiomycetes_unidentified_1,100,Exobasidiomycetes_unidentified_1,100,Exobasidiomycetes_sp|SH230059.06FU,100,34
ASV35,ASV35,+,Fungi,100,Basidiomycota,100,Tremellomycetes,100,Tremellales,100,Incertae_sedis_12,100,Hannaella,99,Hannaella_oryzae|SH197179.06FU,95,35
ASV36,ASV36,+,Fungi,100,Basidiomycota,100,Tremellomycetes,100,Filobasidiales,100,Filobasidiaceae,100,Filobasidium,100,Filobasidium_floriforme|SH216500.06FU,100,36
ASV38,ASV38,+,Fungi,100,Ascomycota,94,,64,,59,,17,,1,,1,38
ASV39,ASV39,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Capnodiales,100,Mycosphaerellaceae,100,,51,,51,39
ASV40,ASV40,+,Fungi,100,Basidiomycota,100,Microbotryomycetes,100,Sporidiobolales,100,Incertae_sedis_25,100,Sporobolomyces,100,Sporobolomyces_ruberrimus|SH196707.06FU,100,40
ASV41,ASV41,+,Fungi,100,Basidiomycota,100,Tremellomycetes,100,Tremellales,100,Incertae_sedis_12,100,Hannaella,100,Hannaella_luteola|SH197177.06FU,100,41
ASV42,ASV42,+,Fungi,100,Basidiomycota,100,Tremellomycetes,100,Tremellales,100,Incertae_sedis_12,100,Hannaella,100,Hannaella_zeae|SH197183.06FU,100,42
ASV43,ASV43,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Dothideomycetes_unidentified,100,Dothideomycetes_unidentified_1,100,Dothideomycetes_unidentified_1,100,Dothideomycetes_sp|SH225320.06FU,100,43
ASV44,ASV44,+,Fungi,100,Basidiomycota,100,Exobasidiomycetes,100,Exobasidiomycetes_unidentified,100,Exobasidiomycetes_unidentified_1,100,Exobasidiomycetes_unidentified_1,100,Exobasidiomycetes_sp|SH230060.06FU,97,44
ASV45,ASV45,+,Fungi,100,,63,,5,,5,,4,,4,,3,45
ASV46,ASV46,+,Fungi,100,Ascomycota,99,Ascomycota_unidentified,99,Ascomycota_unidentified_1,99,Ascomycota_unidentified_1,99,Ascomycota_unidentified_1_1,99,Ascomycota_sp|SH202146.06FU,99,46
ASV47,ASV47,+,Fungi,100,Basidiomycota,100,Tremellomycetes,100,Tremellales,100,Incertae_sedis_12,100,Bullera,100,Bullera_pseudoalba|SH195374.06FU,100,47
ASV48,ASV48,+,Fungi,100,Ascomycota,100,,60,,60,,60,,60,,60,48
ASV49,ASV49,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Pleosporales,100,Incertae_sedis_13,100,Leptosphaerulina,100,Leptosphaerulina_chartarum|SH227423.06FU,100,49
ASV50,ASV50,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Dothideomycetes_unidentified,100,Dothideomycetes_unidentified_1,100,Dothideomycetes_unidentified_1,100,Dothideomycetes_sp|SH225320.06FU,100,50
ASV51,ASV51,+,Fungi,100,Ascomycota,100,Dothideomycetes,99,Pleosporales,99,Phaeosphaeriaceae,99,Phaeosphaeriaceae_unidentified,98,Phaeosphaeriaceae_sp|SH213437.06FU,98,51
ASV52,ASV52,+,Fungi,100,Ascomycota,98,Ascomycota_unidentified,95,Ascomycota_unidentified_1,95,Ascomycota_unidentified_1,95,Ascomycota_unidentified_1_1,95,Ascomycota_sp|SH217298.06FU,95,52
ASV54,ASV54,+,Fungi,100,,61,,61,,61,,61,,61,,61,54
ASV55,ASV55,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Pleosporales,100,Pleosporales_unidentified,100,Pleosporales_unidentified_1,100,Pleosporales_sp|SH206981.06FU,100,55
