,asv,direction,domain,conf.d,phylum,conf.p,class,conf.c,order,conf.o,family,conf.f,genus,conf.g,species,conf.s,num
ASV3,ASV3,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Capnodiales,100,Mycosphaerellaceae,100,Davidiella,100,,25,3
ASV6,ASV6,+,Fungi,100,Ascomycota,97,,53,,46,,41,,29,,28,6
ASV7,ASV7,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Pleosporales,100,Pleosporales_Incertae sedis,98,Phoma,98,,68,7
ASV8,ASV8,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Pleosporales,100,Pleosporaceae,100,Alternaria,100,Alternaria alternata,73,8
ASV12,ASV12,+,Fungi,100,Basidiomycota,100,Microbotryomycetes,100,Sporidiobolales,100,Sporidiobolaceae,100,Sporidiobolus,100,Sporobolomyces ruberrimus,94,12
ASV13,ASV13,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Capnodiales,100,Mycosphaerellaceae,100,Mycosphaerella,100,,22,13
ASV14,ASV14,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Pleosporales,100,Pleosporales_Incertae sedis,87,Phoma,87,,64,14
ASV15,ASV15,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Capnodiales,100,Mycosphaerellaceae,100,Mycosphaerella,100,Uwebraunia commune,99,15
ASV16,ASV16,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Capnodiales,100,Mycosphaerellaceae,100,Mycosphaerella,100,Mycosphaerella lateralis,82,16
ASV17,ASV17,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Capnodiales,100,Mycosphaerellaceae,100,Davidiella,100,Davidiella macrospora,74,17
ASV19,ASV19,+,Fungi,100,Ascomycota,83,Dothideomycetes,72,Pleosporales,72,,18,,18,,11,19
ASV20,ASV20,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Pleosporales,100,Didymellaceae,100,,69,,28,20
ASV21,ASV21,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Pleosporales,100,Pleosporales_Incertae sedis,100,Phoma,100,Phoma paspali,100,21
ASV22,ASV22,+,Fungi,100,Basidiomycota,100,Microbotryomycetes,100,Sporidiobolales,100,Sporidiobolaceae,99,Sporidiobolus,99,,61,22
ASV24,ASV24,+,Fungi,100,Ascomycota,99,Dothideomycetes,99,Pleosporales,98,Phaeosphaeriaceae,84,,59,,59,24
