,unique.plot,leaf.type,site,species,Site.Sample.Order,Field.Location,full.id,site.rep,OVT.Variety,variety.rep,OVT.Var.Entry,plot.rep,OVT.plot,Lat.N,Lon.W,plantHt,temp,humid,leaftemp.diff,soilmoist,NPQt,Phi2,PhiNO,PhiNPQ,PAR,Chla,leafthick,Yield,Test.Weight,Ear.Height,Soil.Type,Soil.Texture,CEC,HM_perc,pH,P.soil,K.soil,Ca.soil,Mg.soil,Mn.soil,Zn.soil,Cu.soil,Sample_Date,Elev,Precip_90day,LT_90day,HT_90day,MAP,MLT,MHT,LAI.ratio.type,LAI.mean,LAI.sd,LAI.reps,LAI.CV,Notes
240,DNANeg,control,control,control,control,control,DNA-Negative,control,control,control,control,control,control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative; 
241,PCRNeg1,control,control,control,control,control,PCR-Negative_1,control,control,control,control,control,control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative; 
242,PCRNeg2,control,control,control,control,control,PCR-Negative_2,control,control,control,control,control,control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative; 
243,POS-CONT,control,control,control,control,control,Pos-Control,control,control,control,control,control,control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,positive; 
187,61E,Ear,GREVT,CRN,1,"right3 ,up2",61E-GREVT-CRN-V1-P1,1,LC1586TC,1,685,1,122,35.42892,-77.50291,148,NA,NA,NA,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,Lumbee sandy loam,Sandy Loam,8.5,3.19,5.5,534,347.99,71400,18604.8,7.52,6.76,1.48,7/29/2019,9,328.42,7.3,37.6,1234.12,10.5,22.8,same as measurement for tassel,5.624519774,0.476644928,4,8.474411095,"; Moderate drought stress, no disease pressure"
188,61T,Tassel,GREVT,CRN,1,"right3 ,up2",61T-GREVT-CRN-V1-P1,1,LC1586TC,1,685,1,122,35.42892,-77.50291,148,37.31,40.94,-2.74,7.65,2.95,0.44,0.15,0.41,1745.89,60.61,1.22,NA,NA,19,Lumbee sandy loam,Sandy Loam,8.5,3.19,5.5,534,347.99,71400,18604.8,7.52,6.76,1.48,7/10/2019,9,253.53,6,37.6,1234.12,10.5,22.8,no external sensor,5.624519774,0.476644928,4,8.474411095,"; Moderate drought stress, no disease pressure"
189,62E,Ear,GREVT,CRN,2,"right4 ,up4",62E-GREVT-CRN-V3-P1,1,66G25,3,723,1,145,35.42908,-77.50288,175.3,NA,NA,NA,7.9,NA,NA,NA,NA,NA,NA,NA,149.6413,55.2,32,Lumbee sandy loam,Sandy Loam,8.5,3.19,5.5,534,347.99,71400,18604.8,7.52,6.76,1.48,7/29/2019,9,328.42,7.3,37.6,1234.12,10.5,22.8,same as measurement for tassel,4.453501261,0.726019193,4,16.30221145,"; Moderate drought stress, no disease pressure"
190,62T,Tassel,GREVT,CRN,2,"right4 ,up4",62T-GREVT-CRN-V3-P1,1,66G25,3,723,1,145,35.42908,-77.50288,175.3,38.09,39.25,-2.22,8.01,2.1,0.49,0.17,0.34,1179.61,59.16,0.97,149.6413,55.2,32,Lumbee sandy loam,Sandy Loam,8.5,3.19,5.5,534,347.99,71400,18604.8,7.52,6.76,1.48,7/10/2019,9,253.53,6,37.6,1234.12,10.5,22.8,no external sensor,4.453501261,0.726019193,4,16.30221145,"; Moderate drought stress, no disease pressure"
191,63E,Ear,GREVT,CRN,3,"right11 ,up4",63E-GREVT-CRN-V2-P1,1,LC1289,2,714,1,138,35.42906,-77.50276,171,NA,NA,NA,11.9,NA,NA,NA,NA,NA,NA,NA,169.3861675,52.5,29,Lumbee sandy loam,Sandy Loam,8.5,3.19,5.5,534,347.99,71400,18604.8,7.52,6.76,1.48,7/29/2019,9,328.42,7.3,37.6,1234.12,10.5,22.8,same as measurement for tassel,5.870693722,0.906026908,4,15.43304678,"; Moderate drought stress, no disease pressure"
192,63T,Tassel,GREVT,CRN,3,"right11 ,up4",63T-GREVT-CRN-V2-P1,1,LC1289,2,714,1,138,35.42906,-77.50276,171,37.95,39.16,-1.68,9.47,2.86,0.41,0.17,0.43,1495.93,57.63,1.237,169.3861675,52.5,29,Lumbee sandy loam,Sandy Loam,8.5,3.19,5.5,534,347.99,71400,18604.8,7.52,6.76,1.48,7/10/2019,9,253.53,6,37.6,1234.12,10.5,22.8,no external sensor,5.870693722,0.906026908,4,15.43304678,"; Moderate drought stress, no disease pressure"
