OTU	Kingdom	Phylum	Order	Class	Family	Genus	Species	taxon	taxonomicLevel	trophicMode	guild	trait	growthForm	confidenceRanking	notes	citationSource
ASV100	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Dothideomycetes_unidentified_1	Dothideomycetes_unidentified_1	Pleosporaceae	9	Pathotroph-Saprotroph	Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph	NULL	Microfungus	Probable	Necrotrophic pathogens and saprobes, especially associated with grasses. Many species are seed-borne (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); David AS, et al. 2016. Microbial Ecology 71:912-926 ((https://doi.org/10.1007/s00248-015-0712-6)); Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
ASV1009	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_Incertae_sedis	Myrothecium	Myrothecium_leucotrichum	Myrothecium	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV101	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_Incertae_sedis	Hannaella	Hannaella_sp	na	na	na	na	na	na	na	na	na
ASV102	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Ophiosphaerella	Ophiosphaerella_agrostis	Ophiosphaerella	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV1024	Fungi	Ascomycota						na	na	na	na	na	na	na	na	na
ASV103	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	Phaeosphaeria_oryzae	Phaeosphaeria	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV1031	Fungi	Ascomycota						na	na	na	na	na	na	na	na	na
ASV1033	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolales_Incertae_sedis	Rhodotorula	Rhodotorula_ingeniosa	Rhodotorula	13	Pathotroph-Saprotroph	Animal Endosymbiont-Animal Pathogen-Endophyte-Plant Pathogen-Undefined Saprotroph	NULL	Yeast	Probable	Opportunistic human pathogen	https://www.cdc.gov ((https://www.cdc.gov))
ASV104	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Leptosphaerulina	Leptosphaerulina_australis	Leptosphaerulina	13	Symbiotroph	Lichenized	NULL	Thallus	Highly Probable	NULL	Esslinger TL. 2014. North Dakota State University ((http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm))
ASV105	Fungi	Basidiomycota	Exobasidiomycetes	Entylomatales	Entylomataceae	Entyloma	Entyloma	Entyloma	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV1057	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Septoria	Septoria_arundinacea	Septoria	13	Pathotroph	Plant Pathogen	NULL	Microfungus	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV106	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_Incertae_sedis	Hannaella	Hannaella_sp	na	na	na	na	na	na	na	na	na
ASV1060	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Peniophora	Peniophora_laxitexta	Peniophora	13	Pathotroph-Saprotroph	Plant Pathogen-Wood Saprotroph	White Rot	Corticioid	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV1063	Fungi	Ascomycota						na	na	na	na	na	na	na	na	na
