OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV100	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Dothideomycetes_unidentified_1	Dothideomycetes_unidentified_1
ASV1009	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_Incertae_sedis	Myrothecium	Myrothecium_leucotrichum
ASV101	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_Incertae_sedis	Hannaella	Hannaella_sp
ASV102	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Ophiosphaerella	Ophiosphaerella_agrostis
ASV1024	Fungi	Ascomycota					
ASV103	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	Phaeosphaeria_oryzae
ASV1031	Fungi	Ascomycota					
ASV1033	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolales_Incertae_sedis	Rhodotorula	Rhodotorula_ingeniosa
ASV104	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Leptosphaerulina	Leptosphaerulina_australis
ASV105	Fungi	Basidiomycota	Exobasidiomycetes	Entylomatales	Entylomataceae	Entyloma	Entyloma
ASV1057	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Septoria	Septoria_arundinacea
ASV106	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_Incertae_sedis	Hannaella	Hannaella_sp
ASV1060	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Peniophora	Peniophora_laxitexta
ASV1063	Fungi	Ascomycota					
ASV1064	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Phomopsis	Phomopsis_longicolla
ASV1066	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Steccherinaceae	Irpex	Irpex_lacteus
ASV1067	Fungi	Basidiomycota	Exobasidiomycetes	Entylomatales	Entylomataceae	Entyloma	
ASV107	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Dissoconium	Dissoconium_aciculare
ASV1076	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Chaetothyriales_unidentified	Chaetothyriales_unidentified_1	Chaetothyriales_unidentified_1
ASV1079	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Ascomycota_unidentified_1_1	Ascomycota_unidentified_1_1
ASV108	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	Phaeosphaeria_oryzae
