,uniq.Subject,QueryID,n,mean.Perc.Ident,sd.Perc.Ident,uniq.Subject.Type,genus,notes
1,EU118312.1,ASV305,1,99.329,NA,Plant,Glycine,
2,EU118312.1,ASV1,1,100,NA,Plant,Glycine,
3,EU118312.1,ASV331,1,99.664,NA,Plant,Glycine,
4,EU118312.1,ASV160,1,99.329,NA,Plant,Glycine,
5,AY346111.1,ASV9,1,98.031,NA,Plant,Triticum,
6,AY346111.1,ASV10,1,99.606,NA,Plant,Triticum,
7,AY346111.1,ASV646,1,94.094,NA,Plant,Triticum,
8,AY346111.1,ASV1263,1,94.094,NA,Plant,Triticum,
9,AY346111.1,ASV967,1,93.701,NA,Plant,Triticum,
10,AY346111.1,ASV1070,1,94.094,NA,Plant,Triticum,
11,AY346111.1,ASV846,1,95.276,NA,Plant,Triticum,
12,AY346111.1,ASV235,1,97.244,NA,Plant,Triticum,
13,AY346111.1,ASV263,1,100,NA,Plant,Triticum,
14,AY346111.1,ASV547,1,96.047,NA,Plant,Triticum,
15,AY346111.1,ASV1162,1,96.063,NA,Plant,Triticum,
16,AY129730.1,ASV1245,1,91.304,NA,Plant,Panicum,
17,AY129730.1,ASV1010,1,91.336,NA,Plant,Panicum,
18,AY129730.1,ASV812,1,90.975,NA,Plant,Panicum,
19,AM404348.1,ASV969,1,77.023,NA,Plant,Panicum,coming back as triticum-elymus from nr database
20,AM404348.1,ASV1234,1,96.14,NA,Plant,Panicum,
21,AM404348.1,ASV1377,1,95.067,NA,Plant,Panicum,
22,AM404348.1,ASV814,1,95.439,NA,Plant,Panicum,
23,AM404348.1,ASV1150,1,95.439,NA,Plant,Panicum,
24,AM404348.1,ASV1362,1,94.17,NA,Plant,Panicum,
25,AM404348.1,ASV1077,1,94.737,NA,Plant,Panicum,
26,AM404348.1,ASV1375,1,96.183,NA,Plant,Panicum,
27,AM404348.1,ASV886,1,94.386,NA,Plant,Panicum,
28,AM404348.1,ASV1239,1,91.228,NA,Plant,Panicum,
29,AM404348.1,ASV1023,1,77.346,NA,Plant,Panicum,coming back as triticum-elymus from nr database
30,AM404348.1,ASV1152,1,95.714,NA,Plant,Panicum,
31,KU182535.1,ASV137,1,95.708,NA,Plant,Zea,
32,KU182535.1,ASV23,1,96.121,NA,Plant,Zea,
33,KU182535.1,ASV4,1,96.552,NA,Plant,Zea,
34,KU182535.1,ASV906,1,93.103,NA,Plant,Zea,
35,KU182535.1,ASV1431,1,96.154,NA,Plant,Zea,
36,KU182535.1,ASV2,1,96.121,NA,Plant,Zea,
37,KU182535.1,ASV671,1,93.913,NA,Plant,Zea,
38,AY450258.1,ASV376,1,100,NA,Plant,Triticum,
39,MF780726.1,ASV385,1,96.739,NA,Plant,Zea,
40,AY346110.1,ASV5,1,100,NA,Plant,Triticum,
41,AY346116.1,ASV88,1,100,NA,Plant,Triticum,
42,Cryptococcus_sp|KM246228|SH1528216.08FU|reps|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Tremellaceae;g__Cryptococcus;s__Cryptococcus_sp,ASV1446,1,95.322,NA,Fungi,NA,
43,Ascomycota_sp|AY969332|SH1647475.08FU|reps|k__Fungi;p__Ascomycota;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Ascomycota_sp,ASV1447,1,98.45,NA,Fungi,NA,
44,Coniothyrium_sp|KT581758|SH1554288.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Coniothyriaceae;g__Coniothyrium;s__Coniothyrium_sp,ASV100,1,98.585,NA,Fungi,NA,
45,Bipolaris_melinidis|KJ650604|SH1526443.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Bipolaris;s__Bipolaris_melinidis,ASV1001,1,95.745,NA,Fungi,NA,
46,Trichomeriaceae_sp|KX348466|SH1597936.08FU|reps|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Trichomeriaceae;g__unidentified;s__Trichomeriaceae_sp,ASV1002,1,98.905,NA,Fungi,NA,
47,Epicoccum_draconis|GU237795|SH1712318.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Epicoccum;s__Epicoccum_draconis,ASV1003,1,100,NA,Fungi,NA,
