"","unique.plot","leaf.type","site","species","Site.Sample.Order","Field.Location","full.id","site.rep","OVT.Variety","variety.rep","OVT.Var.Entry","plot.rep","OVT.plot","Lat.N","Lon.W","plantHt","temp","humid","leaftemp.diff","soilmoist","NPQt","Phi2","PhiNO","PhiNPQ","PAR","Chla","leafthick","Yield","Test.Weight","Ear.Height","Soil.Type","Soil.Texture","Sample_Date","Elev","Precip_90day","LT_90day","HT_90day","MAP","MLT","MHT","LAI.ratio.type","LAI.mean","LAI.sd","LAI.reps","LAI.CV","Notes","Variety","nestSite","nestBlock","nestSiteVar","nestSppSiteVar","Sdiv","Hdiv","Pdiv","CEC","P.soil","K.soil","Ca.soil","Mg.soil","Mn.soil","Zn.soil","Cu.soil","HM_perc","HM_perc_CV","pH"
"1",13,"flag","LENVT","WHT",1,"right6, up2","13-LENVT-WHT-V3-P1",2,"NC14-22588",3,15,1,115,35.37901,-77.56084,67,39.28,32.17,-4.01,8.6,1.38,0.3,0.31,0.39,833,39.56,NA,74.21650405,59.5,NA,"Lynchburg sandy loam","Sandy Loam","4/30/2019",21,281.13,-4.2,30.5,1233.56,10.4,22.8,"no external sensor",4.133592615,0.476001249,4,11.51543688,"; Late season infection of Leaf Rust and Septoria Nodorum blotch after samples were pulled.  Average yielding location","NC14-22588","WHT-LENVT","WHT-LENVT-1","LENVT-NC14-22588","WHT-LENVT-NC14-22588",6,1.155328458,0.64480109,5.6,90,148.58,63840,10895.36,12.96,7.56,0.74,0.76,NA,5.9
"2",14,"flag","LENVT","WHT",2,"right8, up2","14-LENVT-WHT-V2-P1",2,"NC11363-25",2,13,1,113,35.37696,-77.56086,65,38.78,34.08,-3.03,8.53,1.25,0.38,0.28,0.34,712.53,47.61,NA,79.12040324,61,NA,"Lynchburg sandy loam","Sandy Loam","4/30/2019",21,281.13,-4.2,30.5,1233.56,10.4,22.8,"no external sensor",5.083825774,0.489820002,4,9.634869958,"; Late season infection of Leaf Rust and Septoria Nodorum blotch after samples were pulled.  Average yielding location","NC11363-25","WHT-LENVT","WHT-LENVT-1","LENVT-NC11363-25","WHT-LENVT-NC11363-25",14,1.219280783,0.462013754,5.6,90,148.58,63840,10895.36,12.96,7.56,0.74,0.76,NA,5.9
"3",15,"flag","LENVT","WHT",3,"right9, up2","15-LENVT-WHT-V1-P1",2,"Hilliard",1,12,1,112,35.37695,-77.56087,66,39.91,31.31,-2.9,7.68,1.72,0.44,0.21,0.35,591.24,44.1,NA,75.78949845,59.3,NA,"Lynchburg sandy loam","Sandy Loam","4/30/2019",21,281.13,-4.2,30.5,1233.56,10.4,22.8,"no external sensor",4.390829377,0.653218201,4,14.87687507,"; Late season infection of Leaf Rust and Septoria Nodorum blotch after samples were pulled.  Average yielding location","Hilliard","WHT-LENVT","WHT-LENVT-1","LENVT-Hilliard","WHT-LENVT-Hilliard",20,1.84398934,0.615538764,5.6,90,148.58,63840,10895.36,12.96,7.56,0.74,0.76,NA,5.9
"4",16,"flag","LENVT","WHT",4,"right2, up5","16-LENVT-WHT-V1-P2",2,"Hilliard",1,12,2,202,35.377,-77.56052,69.5,39.32,31.71,-3.08,8.58,1.76,0.35,0.24,0.4,811.56,45.1,NA,81.33684347,59.3,NA,"Lynchburg sandy loam","Sandy Loam","4/30/2019",21,281.13,-4.2,30.5,1233.56,10.4,22.8,"no external sensor",3.938116466,0.219431546,4,5.571992289,"; Late season infection of Leaf Rust and Septoria Nodorum blotch after samples were pulled.  Average yielding location","Hilliard","WHT-LENVT","WHT-LENVT-2","LENVT-Hilliard","WHT-LENVT-Hilliard",12,1.325541828,0.533437274,5.6,90,148.58,63840,10895.36,12.96,7.56,0.74,0.76,NA,5.9
"5",17,"flag","LENVT","WHT",5,"right10, up7","17-LENVT-WHT-V2-P2",2,"NC11363-25",2,13,2,230,35.37682,-77.56038,65.3,38.82,33.24,-3.65,8.63,1.81,0.3,0.3,0.4,852.6,46.99,NA,75.50050849,61.1,NA,"Lynchburg sandy loam","Sandy Loam","4/30/2019",21,281.13,-4.2,30.5,1233.56,10.4,22.8,"no external sensor",4.657674331,0.507389905,4,10.89363209,"; Late season infection of Leaf Rust and Septoria Nodorum blotch after samples were pulled.  Average yielding location","NC11363-25","WHT-LENVT","WHT-LENVT-2","LENVT-NC11363-25","WHT-LENVT-NC11363-25",20,1.765414745,0.58930992,5.6,90,148.58,63840,10895.36,12.96,7.56,0.74,0.76,NA,5.9
"6",18,"flag","LENVT","WHT",6,"right8, up8","18-LENVT-WHT-V3-P2",2,"NC14-22588",3,15,2,233,35.37682,-77.56028,67.3,38.82,33.9,-2.59,8.88,1.75,0.33,0.29,0.39,777.28,45.71,NA,77.64825988,59.7,NA,"Lynchburg sandy loam","Sandy Loam","4/30/2019",21,281.13,-4.2,30.5,1233.56,10.4,22.8,"no external sensor",4.644726877,0.179035498,4,3.854596888,"; Late season infection of Leaf Rust and Septoria Nodorum blotch after samples were pulled.  Average yielding location","NC14-22588","WHT-LENVT","WHT-LENVT-2","LENVT-NC14-22588","WHT-LENVT-NC14-22588",11,1.130862418,0.471606258,5.6,90,148.58,63840,10895.36,12.96,7.56,0.74,0.76,NA,5.9
"7",19,"flag","LENVT","WHT",7,"right2, up10","19-LENVT-WHT-V2-P3",2,"NC11363-25",2,13,3,319,35.37686,-77.56005,63.8,38.07,34.44,-2.41,7.93,1.01,0.34,0.33,0.33,687.79,38.78,NA,86.89392444,61.1,NA,"Lynchburg sandy loam","Sandy Loam","4/30/2019",21,281.13,-4.2,30.5,1233.56,10.4,22.8,"no external sensor",4.438687955,0.190038911,4,4.281420828,"only 3 flag leaves in culture bag, 1x must have fallen out; Late season infection of Leaf Rust and Septoria Nodorum blotch after samples were pulled.  Average yielding location","NC11363-25","WHT-LENVT","WHT-LENVT-3","LENVT-NC11363-25","WHT-LENVT-NC11363-25",21,1.702939511,0.559345364,5.6,90,148.58,63840,10895.36,12.96,7.56,0.74,0.76,NA,5.9
"8",20,"flag","LENVT","WHT",8,"right6, up11","20-LENVT-WHT-V3-P3",2,"NC14-22588",3,15,3,326,35.37677,-77.55997,67.3,37.16,36.41,-2.67,7.23,2.84,0.32,0.19,0.49,903.27,43.57,NA,67.2003729,58.7,NA,"Lynchburg sandy loam","Sandy Loam","4/30/2019",21,281.13,-4.2,30.5,1233.56,10.4,22.8,"no external sensor",3.489207308,0.366705347,4,10.50970362,"; Late season infection of Leaf Rust and Septoria Nodorum blotch after samples were pulled.  Average yielding location","NC14-22588","WHT-LENVT","WHT-LENVT-3","LENVT-NC14-22588","WHT-LENVT-NC14-22588",4,0.860633799,0.620816057,5.6,90,148.58,63840,10895.36,12.96,7.56,0.74,0.76,NA,5.9
"9",21,"flag","LENVT","WHT",9,"right7, up11","21-LENVT-WHT-V1-P3",2,"Hilliard",1,12,3,327,35.37675,-77.55998,74.3,36.71,37.19,-2.63,7.95,1.09,0.44,0.27,0.29,523.68,44.76,NA,77.2549945,59.6,NA,"Lynchburg sandy loam","Sandy Loam","4/30/2019",21,281.13,-4.2,30.5,1233.56,10.4,22.8,"no external sensor",3.968026578,0.424790219,4,10.70532697,"; Late season infection of Leaf Rust and Septoria Nodorum blotch after samples were pulled.  Average yielding location","Hilliard","WHT-LENVT","WHT-LENVT-3","LENVT-Hilliard","WHT-LENVT-Hilliard",20,1.688300003,0.563568386,5.6,90,148.58,63840,10895.36,12.96,7.56,0.74,0.76,NA,5.9
"10",22,"flag","LENVT","WHT",10,"right1, up15","22-LENVT-WHT-V1-P4",2,"Hilliard",1,12,4,421,35.37677,-77.55956,72.8,37.16,36.38,-2.41,6.83,1.23,0.37,0.29,0.34,681.34,42.74,NA,73.52968287,59.2,NA,"Lynchburg sandy loam","Sandy Loam","4/30/2019",21,281.13,-4.2,30.5,1233.56,10.4,22.8,"no external sensor",4.149252649,0.353704141,4,8.524526485,"; Late season infection of Leaf Rust and Septoria Nodorum blotch after samples were pulled.  Average yielding location","Hilliard","WHT-LENVT","WHT-LENVT-4","LENVT-Hilliard","WHT-LENVT-Hilliard",10,1.384179534,0.601141534,5.6,90,148.58,63840,10895.36,12.96,7.56,0.74,0.76,NA,5.9
"11",23,"flag","LENVT","WHT",11,"right 2, up16","23-LENVT-WHT-V3-P4",2,"NC14-22588",3,15,4,439,35.37673,-77.55947,62.3,36.06,38.53,-1.7,7.6,1.51,0.33,0.28,0.39,715.39,47.11,NA,71.74914479,59.9,NA,"Lynchburg sandy loam","Sandy Loam","4/30/2019",21,281.13,-4.2,30.5,1233.56,10.4,22.8,"no external sensor",3.744967756,0.45798342,4,12.2293021,"; Late season infection of Leaf Rust and Septoria Nodorum blotch after samples were pulled.  Average yielding location","NC14-22588","WHT-LENVT","WHT-LENVT-4","LENVT-NC14-22588","WHT-LENVT-NC14-22588",6,1.114116225,0.621800104,5.6,90,148.58,63840,10895.36,12.96,7.56,0.74,0.76,NA,5.9
"12",24,"flag","LENVT","WHT",12,"right10, up16","24-LENVT-WHT-V2-P4",2,"NC11363-25",2,13,4,431,35.37659,-77.55953,58.5,35.98,39.26,-2.4,7.13,1.48,0.34,0.28,0.38,705.45,45.41,NA,61.58212328,61,NA,"Lynchburg sandy loam","Sandy Loam","4/30/2019",21,281.13,-4.2,30.5,1233.56,10.4,22.8,"no external sensor",3.525241754,0.651101907,4,18.46970937,"; Late season infection of Leaf Rust and Septoria Nodorum blotch after samples were pulled.  Average yielding location","NC11363-25","WHT-LENVT","WHT-LENVT-4","LENVT-NC11363-25","WHT-LENVT-NC11363-25",7,1.01485116,0.521530329,5.6,90,148.58,63840,10895.36,12.96,7.56,0.74,0.76,NA,5.9
"13",25,"flag","PASVT","WHT",1,"right9, up2","25-PASVT-WHT-V1-P1",3,"Hilliard",1,12,1,112,36.32327,-76.33795,63.3,32.96,43.17,-2.06,9.95,1.56,0.22,0.33,0.45,1846.32,33.74,NA,NA,NA,NA,NA,NA,"5/10/2019",5,330.07,-5.5,30.8,1228.22,9.9,21.5,"no external sensor",5.202609723,0.259854381,4,4.994692956,"no harvest due to weed pressure; Heavy weed pressure, site not harvested","Hilliard","WHT-PASVT","WHT-PASVT-1","PASVT-Hilliard","WHT-PASVT-Hilliard",12,1.887590161,0.759622162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",26,"flag","PASVT","WHT",2,"right8, up2","26-PASVT-WHT-V2-P1",3,"NC11363-25",2,13,1,113,36.32327,-76.33793,59.5,33.34,42.58,-2.17,12.88,0.95,0.29,0.42,0.3,1128.58,30.94,NA,NA,NA,NA,NA,NA,"5/10/2019",5,330.07,-5.5,30.8,1228.22,9.9,21.5,"no external sensor",4.762347775,0.866489793,4,18.19459296,"no harvest due to weed pressure; Heavy weed pressure, site not harvested","NC11363-25","WHT-PASVT","WHT-PASVT-1","PASVT-NC11363-25","WHT-PASVT-NC11363-25",28,2.32223363,0.696906094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",27,"flag","PASVT","WHT",3,"right6, up2","27-PASVT-WHT-V3-P1",3,"NC14-22588",3,15,1,115,36.32327,-76.33788,63.3,32.71,42.22,-1.97,12.05,1.15,0.21,0.38,0.41,2022.28,27.63,NA,NA,NA,NA,NA,NA,"5/10/2019",5,330.07,-5.5,30.8,1228.22,9.9,21.5,"no external sensor",4.275469368,0.417351076,4,9.761526507,"no harvest due to weed pressure; Heavy weed pressure, site not harvested","NC14-22588","WHT-PASVT","WHT-PASVT-1","PASVT-NC14-22588","WHT-PASVT-NC14-22588",26,1.973732414,0.605793104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",28,"flag","PASVT","WHT",4,"right6, up7","28-PASVT-WHT-V1-P2",3,"Hilliard",1,12,2,226,36.32285,-76.33784,66.3,33.82,40.07,-2.59,11.05,1.94,0.34,0.24,0.43,1327.11,32.47,NA,NA,NA,NA,NA,NA,"5/10/2019",5,330.07,-5.5,30.8,1228.22,9.9,21.5,"no external sensor",3.818804925,0.428464373,4,11.21985493,"no harvest due to weed pressure; Heavy weed pressure, site not harvested","Hilliard","WHT-PASVT","WHT-PASVT-2","PASVT-Hilliard","WHT-PASVT-Hilliard",23,2.000349619,0.637969482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
