"","QueryID","n","mean.Perc.Ident","sd.Perc.Ident","uniq.Subject","uniq.Subject.Type"
"1","ASV1",1,100,NA,"EU118312.1","Plant"
"2","ASV10",1,99.606,NA,"AY346111.1","Plant"
"3","ASV100",1,98.585,NA,"Coniothyrium_sp|KT581758|SH1554288.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Coniothyriaceae;g__Coniothyrium;s__Coniothyrium_sp","Fungi"
"4","ASV1001",1,95.745,NA,"Bipolaris_melinidis|KJ650604|SH1526443.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Bipolaris;s__Bipolaris_melinidis","Fungi"
"5","ASV1002",1,98.905,NA,"Trichomeriaceae_sp|KX348466|SH1597936.08FU|reps|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Trichomeriaceae;g__unidentified;s__Trichomeriaceae_sp","Fungi"
"6","ASV1003",1,100,NA,"Epicoccum_draconis|GU237795|SH1712318.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Epicoccum;s__Epicoccum_draconis","Fungi"
"7","ASV1004",1,100,NA,"Udeniomyces_pyricola|AF444402|SH1560792.08FU|refs|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Cystofilobasidiales;f__Mrakiaceae;g__Udeniomyces;s__Udeniomyces_pyricola","Fungi"
"8","ASV1005",1,99.091,NA,"Aureobasidium_namibiae|KT693730|SH2149997.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Aureobasidiaceae;g__Aureobasidium;s__Aureobasidium_namibiae","Fungi"
"9","ASV1006",1,99.468,NA,"Sampaiozyma_ingeniosa|KJ706344|SH1650848.08FU|reps|k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Microbotryomycetes_ord_Incertae_sedis;f__Chrysozymaceae;g__Sampaiozyma;s__Sampaiozyma_ingeniosa","Fungi"
"10","ASV1009",1,99.487,NA,"Alfaria_ossiformis|KU845984|SH1557967.08FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Stachybotryaceae;g__Alfaria;s__Alfaria_ossiformis","Fungi"
"11","ASV101",1,97.842,NA,"Hannaella_sinensis|AF444468|SH1522794.08FU|refs|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Hannaella;s__Hannaella_sinensis","Fungi"
"12","ASV1010",1,91.336,NA,"AY129730.1","Plant"
