"","site","count","mean","sd","se","ciMult","ci"
"CRN-GREVT","CRN-GREVT",66,54.8326722812569,4.96193401380148,0.610771855899889,1.997137908392,1.21979562679661
"CRN-ROBVT","CRN-ROBVT",55,55.2448657451628,4.40753194486101,0.594311486205528,2.00487928818806,1.19152278942573
"CRN-ROWVT","CRN-ROWVT",66,58.7592424380078,3.18691740313968,0.392282414780446,1.997137908392,0.783442081353584
"CRN-YADVT","CRN-YADVT",66,58.5466737023222,5.23357958825494,0.644209114677303,1.997137908392,1.28657444385369
"SOY-BEAVT","SOY-BEAVT",66,33.1393856948603,4.1356671886733,0.509065440448101,1.997137908392,1.01667388897118
"SOY-PASVT","SOY-PASVT",66,33.8575669264416,4.71194132324299,0.57999988288511,1.997137908392,1.15833975297278
"SOY-ROWVT","SOY-ROWVT",66,39.8069744787222,4.0921710348145,0.503711434017755,1.997137908392,1.00598119976736
"SOY-YADVT","SOY-YADVT",66,46.1538808032465,4.18651478855625,0.515324347330415,1.997137908392,1.02917378917094
"SWCH-CCRS","SWCH-CCRS",66,43.5205312529631,4.13765987650071,0.509310723363834,1.997137908392,1.01716375278047
"SWCH-OTRS","SWCH-OTRS",66,57.7195544080825,5.06526130881254,0.623490566701662,1.997137908392,1.2451966462847
"SWCH-SHFA","SWCH-SHFA",66,54.573613599003,8.20680834077507,1.01018827484763,1.997137908392,2.01748529831132
"SWCH-WBFL","SWCH-WBFL",66,62.5559924044861,4.61493903413277,0.568059726490124,1.997137908392,1.13449361400422
"WHT-LENVT","WHT-LENVT",66,30.3944378942594,6.76664990736646,0.832917026032901,1.997137908392,1.66345016723544
"WHT-PASVT","WHT-PASVT",66,36.7645582146619,3.97466053594614,0.489246891506324,1.997137908392,0.97709351359023
"WHT-ROWVT","WHT-ROWVT",66,45.3152646467718,5.67020528016941,0.697954022094938,1.997137908392,1.39391043584047
"WHT-UNIVT","WHT-UNIVT",66,51.6993519177782,4.36305511065807,0.537054958795899,1.997137908392,1.0725728171012
